City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
251,Bubaque,11.2833,-15.8333,79.83,72,95,10.56,GW,2022-01-02 21:44:59
252,Carros,43.7894,7.184,56.12,88,40,10.36,FR,2022-01-02 21:44:59
253,Boissevain,49.2306,-100.0559,8.64,85,100,4.65,CA,2022-01-02 21:44:59
254,Mount Gambier,-37.8333,140.7667,57.11,88,75,8.05,AU,2022-01-02 21:45:00
255,Moron,-34.6534,-58.6198,95.02,61,3,8.01,AR,2022-01-02 21:45:00
256,Ler,8.3018,30.1418,75.7,25,3,6.67,SS,2022-01-02 21:45:00
257,Adrar,20.5022,-10.0711,63.57,24,0,11.72,MR,2022-01-02 21:45:01
258,Ayagoz,47.9714,80.4392,5.04,86,97,3.94,KZ,2022-01-02 21:45:01
259,Ust-Nera,64.5667,143.2,-18.62,98,100,1.74,RU,2022-01-02 21:45:01
260,Konevo,62.1215,39.3192,1.38,97,76,6.51,RU,2022-01-02 21:45:02
261,Bielsko-Biala,49.8224,19.0469,49.28,70,76,14.05,PL,2022-01-02 21:45:02
262,Sangar,63.9242,127.4739,-49.2,100,94,2.91,RU,2022-01-02 21:45:02
263,Neuquen,-38.9516,-68.0591,82.29,26,40,14.97,AR,2022-01-02 21:42:22
264,Chardara,41.2547,67.9692,49.71,38,100,11.39,KZ,2022-01-02 21:45:03
265,Bambous Virieux,-20.3428,57.7575,74.21,83,40,6.91,MU,2022-01-02 21:45:03
266,Jardim,-21.4803,-56.1381,89.98,41,37,8.68,BR,2022-01-02 21:45:04
267,Tilichiki,60.4667,166.1,31.01,97,100,35.86,RU,2022-01-02 21:45:04
268,Takoradi,4.8845,-1.7554,80.49,79,21,5.66,GH,2022-01-02 21:45:04
269,Jacareacanga,-6.2222,-57.7528,78.28,88,100,2.17,BR,2022-01-02 21:45:05
270,Backa Topola,45.8152,19.6318,46.56,85,100,6.58,RS,2022-01-02 21:45:05
271,Waipawa,-41.4122,175.5153,70.45,52,99,6.29,NZ,2022-01-02 21:37:16
272,Honiara,-9.4333,159.95,83.86,78,99,7.31,SB,2022-01-02 21:45:05
273,Constitucion,-35.3333,-72.4167,65.77,79,11,9.1,CL,2022-01-02 21:36:51
274,Raga,8.4596,25.678,72.19,29,13,5.26,SS,2022-01-02 21:45:06
275,Dillon,34.4166,-79.3712,68.81,81,100,3.44,US,2022-01-02 21:41:24
276,Saint-Philippe,-21.3585,55.7679,75.22,78,45,10.47,RE,2022-01-02 21:36:52
277,Sao Joao Da Barra,-21.6403,-41.0511,80.69,90,100,6.85,BR,2022-01-02 21:42:18
278,Bama,11.5221,13.6856,65.23,35,35,8.93,NG,2022-01-02 21:46:07
279,Suez,29.9737,32.5263,58.71,77,19,6.71,EG,2022-01-02 21:46:07
280,Bud,39.447,-86.1758,30.85,85,100,12.35,US,2022-01-02 21:46:08
281,Wenchi,7.7392,-2.1046,82.44,20,40,1.83,GH,2022-01-02 21:46:08
282,Carutapera,-1.195,-46.02,76.33,93,100,6.58,BR,2022-01-02 21:46:08
283,Alvdal,62.1077,10.6307,12.04,98,100,3.96,NO,2022-01-02 21:46:09
284,Araouane,18.9048,-3.5265,67.3,22,0,10.47,ML,2022-01-02 21:46:09
285,Salisbury,51.0693,-1.7957,51.51,83,15,16.11,GB,2022-01-02 21:45:10
286,Macusani,-14.0833,-70.4333,46.87,64,98,4.99,PE,2022-01-02 21:46:10
